date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,tests_per_case,recovered,cumulative recovered
01-04-20,81,22,1,0,380,1688,0.0462,21.7,2,3
02-04-20,110,29,3,2,662,2350,0.0451,22.2,0,4
03-04-20,122,12,4,1,362,2712,0.0456,21.9,1,4
04-04-20,126,4,4,0,372,3084,0.039,25.6,0,4
05-04-20,142,16,4,0,530,3614,0.0369,27.1,0,4
06-04-20,158,16,6,2,663,4277,0.0337,29.7,0,4
07-04-20,172,14,6,0,696,4973,0.0308,32.5,3,7
08-04-20,179,7,6,0,305,5278,0.0273,36.6,2,9
09-04-20,184,5,7,1,308,5586,0.0229,43.7,0,12
10-04-20,189,5,7,0,606,6192,0.0193,51.9,13,22
11-04-20,191,2,7,0,491,6683,0.0181,55.4,2,24
12-04-20,197,6,8,1,766,7449,0.0143,69.7,1,25
13-04-20,208,11,9,1,674,8123,0.013,76.9,15,40
14-04-20,216,8,9,0,694,8817,0.0114,87.3,1,41
15-04-20,225,9,10,1,803,9620,0.0106,94.4,12,53
16-04-20,234,9,11,1,704,10324,0.0106,94.8,0,53
17-04-20,246,12,11,0,450,10774,0.0124,80.4,0,53
18-04-20,262,16,12,1,1115,11889,0.0136,73.4,7,60
19-04-20,270,8,14,2,1350,13239,0.0126,79.3,7,67
20-04-20,281,11,14,0,633,13872,0.0127,78.7,0,69
21-04-20,296,15,14,0,832,14704,0.0136,73.6,0,74
22-04-20,303,7,14,0,707,15411,0.0135,74.2,0,74
23-04-20,320,17,14,0,668,16079,0.0149,66.9,22,89
24-04-20,336,16,14,0,659,16738,0.0151,66.3,5,94
25-04-20,343,7,14,0,,,0.0149,67.2,4,98
26-04-20,355,12,14,0,,,0.0182,55,8,106
27-04-20,363,8,14,0,,,0.0177,56.5,8,114
28-04-20,374,11,14,0,,,0.0178,56.3,10,124
29-04-20,384,10,15,1,,,0.019,52.7,5,129
30-04-20,396,12,17,2,,20268,0.0182,55.1,15,144
01-05-20,411,15,21,4,1434,21702,0.0151,66.2,6,150
02-05-20,435,24,22,1,1195,22897,0.0165,60.6,0,152
03-05-20,465,30,24,2,883,23780,0.0188,53.3,15,167
04-05-20,490,25,24,0,1012,24792,0.0202,49.5,0,173
05-05-20,535,45,24,0,1077,25869,0.0238,42.1,17,182
06-05-20,582,47,26,2,,,0.0268,37.3,8,190
07-05-20,607,25,29,3,1075,,0.0265,37.8,7,197
08-05-20,621,14,29,0,922,29430,0.0272,36.8,5,202
09-05-20,649,28,30,1,1611,31041,0.0263,38,5,207
10-05-20,672,23,32,2,1056,32097,0.0249,40.2,32,239
11-05-20,700,28,33,1,841,32938,0.0258,38.8,12,251
12-05-20,715,15,36,3,978,33916,0.0224,44.7,8,259
